un_location_id,un_name,iso3
1834,Australia/New Zealand,
1835,Oceania (excluding Australia and New Zealand),
1837,"Eastern and South-Eastern Asia, and Oceania (excluding Australia and New Zealand)",
1859,Low-and-middle-income countries,
2087,LLDC: Africa,
2088,LLDC: Asia,
2089,LLDC: Europe,
2090,LLDC: Latin America,
2091,SIDS Caribbean,
2092,SIDS Pacific,
2093,"SIDS Atlantic, Indian Ocean and South China Sea (AIS)",
5500,Central Asia,
5501,Southern Asia,
5502,"Europe, Northern America, Australia and New Zealand",
5503,High-and-upper-middle-income countries,
5504,Low-and-Lower-middle-income countries,
5505,Americas,
